index,influence,race,age,gender,file_path
5164,-27.51004409790039,4,-1,-1,crop_part1\38_0_4_20170104174520099.jpg.chip.jpg
4867,-25.5467472076416,4,-1,-1,crop_part1\35_0_4_20170105162641195.jpg.chip.jpg
4686,-25.159791946411133,4,-1,-1,crop_part1\33_0_4_20170104172529099.jpg.chip.jpg
6716,-24.988298416137695,4,-1,-1,crop_part1\51_0_4_20170104193634471.jpg.chip.jpg
6189,-23.469812393188477,4,-1,-1,crop_part1\48_0_4_20170104211610652.jpg.chip.jpg
4323,-23.243366241455078,4,-1,-1,crop_part1\2_1_4_20170103213232676.jpg.chip.jpg
4750,-22.686023712158203,4,-1,-1,crop_part1\34_0_4_20170104201954962.jpg.chip.jpg
5285,-22.468643188476562,4,-1,-1,crop_part1\39_0_4_20170104200746817.jpg.chip.jpg
3471,-22.365816116333008,4,-1,-1,crop_part1\27_0_4_20170103235752276.jpg.chip.jpg
4687,-22.064159393310547,4,-1,-1,crop_part1\33_0_4_20170104172723834.jpg.chip.jpg
