index,influence,race,age,gender,file_path
60,-16.87763214111328,0,-1,-1,crop_part1\10_0_0_20170110225546130.jpg.chip.jpg
8040,-15.517547607421875,0,-1,-1,crop_part1\65_0_0_20170104185514678.jpg.chip.jpg
359,-15.331303596496582,0,-1,-1,crop_part1\13_1_0_20170109204108601.jpg.chip.jpg
2371,-11.963134765625,0,-1,-1,crop_part1\20_1_0_20170105000707730.jpg.chip.jpg
823,-11.840812683105469,0,-1,-1,crop_part1\16_1_0_20170109213117588.jpg.chip.jpg
2713,-11.640995025634766,0,-1,-1,crop_part1\23_0_0_20170104004006925.jpg.chip.jpg
1226,-11.259781837463379,0,-1,-1,crop_part1\1_0_0_20161219154018476.jpg.chip.jpg
1253,-10.255617141723633,0,-1,-1,crop_part1\1_0_0_20161219203657925.jpg.chip.jpg
5714,-10.246644973754883,0,-1,-1,crop_part1\40_1_0_20170105172927477.jpg.chip.jpg
8520,-9.569795608520508,0,-1,-1,crop_part1\71_0_0_20170104213311644.jpg.chip.jpg
227,-14.058228492736816,1,-1,-1,crop_part1\12_0_1_20170110224244673.jpg.chip.jpg
6939,-12.730253219604492,1,-1,-1,crop_part1\53_0_1_20170104212358428.jpg.chip.jpg
5406,-12.08340835571289,1,-1,-1,crop_part1\3_0_1_20170110213803097.jpg.chip.jpg
503,-12.059432029724121,1,-1,-1,crop_part1\14_1_1_20170109203225054.jpg.chip.jpg
6625,-11.472578048706055,1,-1,-1,crop_part1\50_0_1_20170111194904758.jpg.chip.jpg
7282,-11.411065101623535,1,-1,-1,crop_part1\56_1_1_20170110141650039.jpg.chip.jpg
1373,-11.198410987854004,1,-1,-1,crop_part1\1_0_1_20170110213701704.jpg.chip.jpg
7915,-11.11379337310791,1,-1,-1,crop_part1\62_0_1_20170111203234430.jpg.chip.jpg
4117,-10.984200477600098,1,-1,-1,crop_part1\2_1_1_20170109190549164.jpg.chip.jpg
851,-10.936657905578613,1,-1,-1,crop_part1\16_1_1_20170109212835445.jpg.chip.jpg
1430,-19.02991485595703,2,-1,-1,crop_part1\1_0_2_20161219155655085.jpg.chip.jpg
1482,-18.125690460205078,2,-1,-1,crop_part1\1_0_2_20161219162846063.jpg.chip.jpg
3183,-17.087234497070312,2,-1,-1,crop_part1\26_0_2_20170103181248536.jpg.chip.jpg
1129,-13.942205429077148,2,-1,-1,crop_part1\18_1_2_20170104020418380.jpg.chip.jpg
3574,-13.88090991973877,2,-1,-1,crop_part1\28_0_2_20170104021218340.jpg.chip.jpg
8709,-13.489296913146973,2,-1,-1,crop_part1\75_0_2_20170111204729431.jpg.chip.jpg
3813,-13.323566436767578,2,-1,-1,crop_part1\29_1_2_20170104022649462.jpg.chip.jpg
5074,-11.88380241394043,2,-1,-1,crop_part1\37_0_2_20170105163305795.jpg.chip.jpg
7331,-11.727842330932617,2,-1,-1,crop_part1\57_0_2_20170104202448266.jpg.chip.jpg
5680,-11.03032398223877,2,-1,-1,crop_part1\40_0_2_20170112003844676.jpg.chip.jpg
5219,-18.75615119934082,3,-1,-1,crop_part1\38_1_3_20170109140706612.jpg.chip.jpg
7078,-18.308748245239258,3,-1,-1,crop_part1\54_0_3_20170104220912510.jpg.chip.jpg
6942,-18.262392044067383,3,-1,-1,crop_part1\53_0_3_20170109132854337.jpg.chip.jpg
5825,-18.159351348876953,3,-1,-1,crop_part1\42_0_3_20170105172357317.jpg.chip.jpg
5126,-17.816877365112305,3,-1,-1,crop_part1\37_1_3_20170104235312145.jpg.chip.jpg
6821,-15.216495513916016,3,-1,-1,crop_part1\52_0_3_20170109142447723.jpg.chip.jpg
1698,-15.208673477172852,3,-1,-1,crop_part1\1_0_3_20161219225648120.jpg.chip.jpg
1702,-15.207626342773438,3,-1,-1,crop_part1\1_0_3_20161219225759904.jpg.chip.jpg
3019,-15.180232048034668,3,-1,-1,crop_part1\25_0_3_20170104220223342.jpg.chip.jpg
3660,-14.946833610534668,3,-1,-1,crop_part1\28_1_3_20170104192939143.jpg.chip.jpg
5164,-27.51004409790039,4,-1,-1,crop_part1\38_0_4_20170104174520099.jpg.chip.jpg
4867,-25.5467472076416,4,-1,-1,crop_part1\35_0_4_20170105162641195.jpg.chip.jpg
4686,-25.159791946411133,4,-1,-1,crop_part1\33_0_4_20170104172529099.jpg.chip.jpg
6716,-24.988298416137695,4,-1,-1,crop_part1\51_0_4_20170104193634471.jpg.chip.jpg
6189,-23.469812393188477,4,-1,-1,crop_part1\48_0_4_20170104211610652.jpg.chip.jpg
4323,-23.243366241455078,4,-1,-1,crop_part1\2_1_4_20170103213232676.jpg.chip.jpg
4750,-22.686023712158203,4,-1,-1,crop_part1\34_0_4_20170104201954962.jpg.chip.jpg
5285,-22.468643188476562,4,-1,-1,crop_part1\39_0_4_20170104200746817.jpg.chip.jpg
3471,-22.365816116333008,4,-1,-1,crop_part1\27_0_4_20170103235752276.jpg.chip.jpg
4687,-22.064159393310547,4,-1,-1,crop_part1\33_0_4_20170104172723834.jpg.chip.jpg
